Depth,AC,nAC,Pv,DEN,CN,LLD,GR
2362,88.849,93.56730342,54.39686,2.212,40.394,1.771,62.609
2362.125,88.909,93.56497011,54.39973875,2.218,40.24,1.771,62.609
2362.25,88.97,93.56263687,54.4026175,2.226,39.384,1.771,62.609
2362.375,89.044,93.56030368,54.40549625,2.23,36.986,1.771,62.609
2362.5,89.073,93.55797055,54.408375,2.231,34.425,1.771,62.609
2362.625,89.052,93.55563747,54.41125375,2.23,31.847,1.771,62.609
2362.75,89.004,93.55330446,54.4141325,2.231,29.928,1.771,62.609
2362.875,88.916,93.5509715,54.41701125,2.234,29.695,1.771,62.609
2363,88.851,93.5486386,54.41989,2.234,29.802,1.771,62.609
2363.125,88.842,93.54630576,54.42276875,2.231,31.021,1.771,62.609
2363.25,88.86,93.54397298,54.4256475,2.219,32.911,1.771,62.609
2365.625,88.77,93.49966118,54.48034375,2.22,49.69,1.793,62.609
2365.75,88.77,93.49732956,54.4832225,2.246,48.493,1.793,62.609
2365.875,88.77,93.494998,54.48610125,2.251,47.279,1.793,62.609
2366,88.77,93.49266649,54.48898,2.247,45.846,1.793,62.609
2366.125,88.77,93.49033505,54.49185875,2.241,43.205,1.793,62.609
2366.25,88.77,93.48800366,54.4947375,2.228,39.494,1.793,62.609
2366.375,88.77,93.48567234,54.49761625,2.21,36.08,1.793,62.609
2366.875,88.77,93.4763476,54.50913125,2.217,31.839,1.793,62.609
2367,88.77,93.47401657,54.51201,2.236,33.236,1.793,62.609
2367.125,88.77,93.47168559,54.51488875,2.249,35.866,1.793,62.609
2367.25,88.77,93.46935467,54.5177675,2.254,39.119,1.793,62.609
2367.375,88.77,93.4670238,54.52064625,2.262,41.183,1.793,62.609
2367.5,88.77,93.464693,54.523525,2.285,42.594,1.793,62.609
2367.625,88.77,93.46236225,54.52640375,2.324,41.813,1.793,62.609
2368,94.333,93.45537036,54.53504,2.393,36.06,2.413,60.14
2368.125,90.253,93.45303985,54.53791875,2.323,33.458,2.517,59.603
2376.25,94.595,93.30168101,54.7250375,2.296,36.233,1.835,55.652
2376.375,91.49,93.29935433,54.72791625,2.316,34.115,1.921,53.686
2376.5,91.531,93.29702771,54.730795,2.326,32.248,1.995,51.987
2376.625,91.637,93.29470114,54.73367375,2.333,31.328,2.057,50.218
2376.75,91.673,93.29237464,54.7365525,2.337,31.029,2.08,48.593
2376.875,91.198,93.29004819,54.73943125,2.336,31.853,2.066,47.772
2377,90.932,93.2877218,54.74231,2.332,32.915,2.017,48.465
2377.125,91.13,93.28539546,54.74518875,2.327,34.61,1.961,49.945
2377.25,92.894,93.28306919,54.7480675,2.322,36.343,1.902,53.039
2377.375,96.633,93.28074297,54.75094625,2.322,37.784,1.87,56.127
2379,97.381,93.25050742,54.78837,2.351,41.517,1.997,63.508
2379.125,96.608,93.24818201,54.79124875,2.367,40.74,2.042,64.546
2379.25,95.862,93.24585667,54.7941275,2.389,39.481,2.088,65.045
2379.375,94.753,93.24353138,54.79700625,2.399,37.976,2.118,64.651
2379.5,93.746,93.24120614,54.799885,2.394,36.564,2.14,63.327
2379.625,92.953,93.23888097,54.80276375,2.38,35.616,2.163,62.031
2379.75,92.968,93.23655586,54.8056425,2.348,35.137,2.188,61.243
2379.875,94.254,93.2342308,54.80852125,2.315,35.661,2.211,61.475
2380,95.758,93.2319058,54.8114,2.295,36.32,2.239,61.774
2380.125,96.952,93.22958086,54.81427875,2.28,36.762,2.265,61.4
2380.25,97.042,93.22725597,54.8171575,2.265,35.996,2.279,59.309
2380.375,95.576,93.22493115,54.82003625,2.256,33.956,2.272,56.566
2380.5,93.91,93.22260638,54.822915,2.25,32.005,2.236,53.64
2380.625,92.4,93.22028167,54.82579375,2.245,30.933,2.193,51.094
2380.75,91.551,93.21795702,54.8286725,2.237,31.186,2.142,50.007
2380.875,92.064,93.21563242,54.83155125,2.234,33.483,2.109,50.573
2381,94.129,93.21330789,54.83443,2.238,36.012,2.087,53.072
2381.125,96.617,93.21098341,54.83730875,2.248,38.79,2.06,56.167
2383,94.736,93.1761232,54.88049,2.347,31.155,1.789,55.116
2383.125,90.08,93.17379965,54.88336875,2.324,29.058,1.906,53.2
2383.25,87.31,93.17147615,54.8862475,2.287,28.126,2.051,52.343
2383.375,86.743,93.16915272,54.88912625,2.26,27.979,2.16,52.524
