Depth,AC,DEN,CN,LLD,GR,Pp
2376.375,94.711,2.316,25.176,1.922,71.425,24.72371038
2376.5,91.421,2.326,24.811,1.972,69.062,22.96521211
2376.625,88.815,2.333,24.712,2.038,66.939,21.45612017
2376.75,87.986,2.337,24.591,2.049,64.452,20.95416323
2376.875,88.144,2.336,24.12,2.037,62.986,21.05367029
2377,88.453,2.332,23.555,2.005,62.889,21.24468436
2377.125,88.856,2.327,22.964,1.988,63.336,21.49060565
2377.25,89.433,2.322,22.497,1.959,64.59,21.8368866
2377.375,90.231,2.322,22.761,1.935,66.063,22.30582885
2377.5,91.436,2.324,23.425,1.929,67.097,22.99347158
2377.625,93.735,2.325,24.288,1.937,68.246,24.24243111
2377.75,95.825,2.326,25.572,1.981,70.344,25.31360186
2377.875,96.47,2.327,26.628,2.017,72.713,25.63427688
2378,96.216,2.332,27.128,2.114,74.156,25.51214649
2378.125,94.106,2.34,27.454,2.165,75.154,24.44649085
2378.25,91.076,2.351,27.556,2.253,75.624,22.80603442
2378.375,89.21,2.354,27.295,2.321,75.498,21.72684918
2378.5,87.961,2.348,26.937,2.356,75.611,20.97311228
2378.625,87.461,2.34,26.49,2.437,76.139,20.6652552
2378.75,87.492,2.334,25.71,2.528,77.3,20.68707307
2378.875,87.157,2.339,24.89,2.572,77.813,20.47930123
2379,86.4,2.351,24.411,2.636,77.288,19.99918431
2379.125,85.118,2.367,24.087,2.64,76.287,19.1598262
2379.375,85.288,2.399,24.231,2.519,73.18,19.278131
2379.5,86.457,2.394,24.417,2.391,72.276,20.04564839
2379.625,88.305,2.38,24.51,2.32,71.128,21.20617269
2379.75,89.467,2.348,24.447,2.178,68.96,21.90632647
2379.875,89.728,2.315,24.34,2.108,66.748,22.06240701
2380,89.784,2.295,24.309,1.968,65.661,22.09769198
2380.125,89.828,2.28,24.271,1.821,65.082,22.12591049
2380.25,90.034,2.265,24.085,1.746,64.746,22.24850857
2380.375,90.292,2.256,23.814,1.605,64.256,22.40046811
2380.5,90.639,2.25,23.718,1.493,63.418,22.60232371
2380.625,91.445,2.245,23.796,1.453,62.18,23.0606356
2380.75,92.469,2.237,24.247,1.403,59.977,23.62796328
2380.875,92.919,2.234,24.809,1.39,58.125,23.87376974
2381,92.885,2.238,25.104,1.392,57.811,23.85798756
2381.125,92.069,2.248,25.347,1.402,58.64,23.41666633
2381.25,91.474,2.267,25.808,1.406,62.463,23.0892835
2381.375,91.986,2.285,26.414,1.421,68.175,23.37595351
2381.5,93.337,2.292,26.796,1.47,71.978,24.10966627
2381.625,95.682,2.294,27.052,1.515,74.921,25.32044546
2381.75,96.141,2.299,27.195,1.653,77.174,25.55087498
2381.875,94.255,2.314,27.273,1.852,77.861,24.59914953
2382,91.076,2.334,27.362,1.969,77.771,22.88052007
2382.125,86.126,2.357,27.433,2.211,77.425,19.88284751
2383.25,85.463,2.287,22.941,2.591,69.153,19.46971765
2383.375,85.897,2.26,22.685,2.493,68.881,19.75791103
2383.5,85.767,2.253,22.477,2.313,67.204,19.6751304
2383.625,85.386,2.253,22.283,2.126,64.679,19.42593773
2383.75,85.758,2.255,22.202,2.031,60.834,19.67409181
2383.875,86.637,2.252,22.407,1.858,58.139,20.24669417
2384,87.59,2.246,22.64,1.718,57.183,20.85119584
2384.125,88.203,2.239,22.816,1.661,56.66,21.23234107
2384.25,87.952,2.23,22.851,1.578,56.503,21.08053736
2384.375,87.7,2.224,22.758,1.524,56.716,20.92700332
2384.5,87.771,2.222,22.747,1.5,56.894,20.97352324
2384.625,88.415,2.221,22.865,1.446,57.113,21.37163089
2384.75,88.99,2.221,23.266,1.416,57.913,21.72132
2384.875,89.014,2.221,23.642,1.356,59.157,21.7381592
