Depth,AC,DEN,Ip,Pp
2376.375,94.711,2.316,7453.377116,24.72371038
2376.5,91.421,2.326,7754.944706,22.96521211
2376.625,88.815,2.333,8006.512413,21.45612017
2376.75,87.986,2.337,8095.806151,20.95416323
2376.875,88.144,2.336,8077.836268,21.05367029
2377,88.453,2.332,8035.83372,21.24468436
2377.125,88.856,2.327,7982.236427,21.49060565
2377.25,89.433,2.322,7913.696287,21.8368866
2377.375,90.231,2.322,7843.707817,22.30582885
2377.5,91.436,2.324,7747.005556,22.99347158
2377.625,93.735,2.325,7560.24964,24.24243111
2377.75,95.825,2.326,7398.536916,25.31360186
2377.875,96.47,2.327,7352.229709,25.63427688
2378,96.216,2.332,7387.478174,25.51214649
2378.125,94.106,2.34,7579.027905,24.44649085
2378.25,91.076,2.351,7867.987176,22.80603442
2378.375,89.21,2.354,8042.811344,21.72684918
2378.5,87.961,2.348,8136.224008,20.97311228
2378.625,87.461,2.34,8154.857594,20.6652552
2378.75,87.492,2.334,8131.065697,20.68707307
2378.875,87.157,2.339,8179.804261,20.47930123
2379,86.4,2.351,8293.805556,19.99918431
2379.125,85.118,2.367,8476.016824,19.1598262
2379.375,85.288,2.399,8573.482788,19.278131
2379.5,86.457,2.394,8439.931989,20.04564839
2379.625,88.305,2.38,8214.982164,21.20617269
2379.75,89.467,2.348,7999.266769,21.90632647
2379.875,89.728,2.315,7863.899786,22.06240701
2380,89.784,2.295,7791.098637,22.09769198
2380.125,89.828,2.28,7736.385092,22.12591049
2380.25,90.034,2.265,7667.903237,22.24850857
2380.375,90.292,2.256,7615.611571,22.40046811
2380.5,90.639,2.25,7566.279416,22.60232371
2380.625,91.445,2.245,7482.924162,23.0606356
2380.75,92.469,2.237,7373.688479,23.62796328
2380.875,92.919,2.234,7328.13741,23.87376974
2381,92.885,2.238,7343.945739,23.85798756
2381.125,92.069,2.248,7442.140134,23.41666633
2381.25,91.474,2.267,7553.857927,23.0892835
2381.375,91.986,2.285,7571.456526,23.37595351
2381.5,93.337,2.292,7484.7231,24.10966627
2381.625,95.682,2.294,7307.656613,25.32044546
2381.75,96.141,2.299,7288.61984,25.55087498
2381.875,94.255,2.314,7482.968543,24.59914953
2382,91.076,2.334,7811.094031,22.88052007
2382.125,86.126,2.357,8341.425354,19.88284751
2383.25,85.463,2.287,8156.484093,19.46971765
2383.375,85.897,2.26,8019.465173,19.75791103
2383.5,85.767,2.253,8006.743853,19.6751304
2383.625,85.386,2.253,8042.470663,19.42593773
2383.75,85.758,2.255,8014.692507,19.67409181
2383.875,86.637,2.252,7922.822812,20.24669417
2384,87.59,2.246,7815.741523,20.85119584
2384.125,88.203,2.239,7737.233427,21.23234107
2384.25,87.952,2.23,7728.124432,21.08053736
2384.375,87.7,2.224,7729.477765,20.92700332
2384.5,87.771,2.222,7716.279865,20.97352324
2384.625,88.415,2.221,7656.6284,21.37163089
2384.75,88.99,2.221,7607.15586,21.72132
2384.875,89.014,2.221,7605.104815,21.7381592
2385,88.808,2.22,7619.313575,21.61695567
2385.125,88.715,2.22,7627.300907,21.56335357
2385.25,89.287,2.22,7578.43807,21.90836569
2385.375,89.973,2.222,7527.431563,22.31449178
2385.5,90.573,2.226,7491.027127,22.66377012
2385.625,90.854,2.231,7484.632487,22.82670687
2385.75,90.536,2.24,7541.221172,22.64751431
2385.875,90.112,2.246,7596.99929,22.40526035
2386,89.649,2.248,7643.034501,22.13717828
2386.125,88.925,2.248,7705.261737,21.70949483
2386.625,87.612,2.244,7806.820983,20.91646918
2386.75,88.535,2.248,7739.203705,21.48645494
2386.875,89.697,2.256,7666.129302,22.18271736
2387,91.15,2.265,7574.020845,23.02175559
2387.125,93.504,2.278,7425.718686,24.31097938
2387.25,95.49,2.3,7341.501728,25.33775199
2387.375,96.08,2.319,7356.694421,25.63439798
2387.5,95.823,2.326,7398.691337,25.5093621
2387.625,94.064,2.328,7543.527811,24.6153166
2387.75,92.099,2.325,7694.546086,23.56536106
2387.875,91.586,2.32,7721.005394,23.28376922
2388,92.126,2.317,7665.822895,23.58519731
2388.125,94.456,2.314,7467.044973,24.82880064
2388.25,96.879,2.311,7270.851268,26.04332034
2389.375,95.859,2.295,7297.342972,25.56517988
2389.5,91.913,2.309,7657.058305,23.49775792
2389.625,87.258,2.32,8103.967545,20.75372382
2390.125,85.344,2.303,8225,19.52464287
2390.25,86.901,2.286,8018.006697,20.5400875
2390.375,87.97,2.27,7865.135842,21.2121966
2390.5,88.906,2.261,7751.476841,21.78452557
2390.625,89.865,2.254,7645.014188,22.35552537
2390.75,90.622,2.245,7550.881684,22.79618944
2390.875,91.235,2.237,7473.421384,23.14686373
2391,91.947,2.233,7402.29045,23.54651044
2391.125,92.849,2.229,7317.248436,24.04124501
2391.25,93.254,2.223,7265.858837,24.26090266
2391.375,93.218,2.218,7252.316076,24.24420379
2391.5,93.122,2.217,7256.519405,24.19540109
2391.625,93.248,2.217,7246.714139,24.26522805
2391.75,93.5,2.219,7233.702674,24.40169752
2391.875,93.429,2.222,7248.986931,24.36655606
2392,93.042,2.225,7288.966273,24.16256885
2392.125,92.11,2.227,7369.336663,23.65884763
2392.25,91.217,2.229,7448.164268,23.16413444
2392.375,90.856,2.232,7487.822488,22.96214998
2392.5,90.683,2.236,7515.551978,22.86592596
2392.625,90.583,2.242,7544.038065,22.81113837
2392.75,90.522,2.254,7589.527408,22.77860934
2392.875,90.512,2.267,7634.143539,22.77535018
2393,90.518,2.272,7650.473939,22.78128503
2393.125,90.551,2.273,7651.051893,22.80272568
2393.25,90.6,2.267,7626.728477,22.83332489
2393.375,90.577,2.256,7591.649094,22.82262208
2393.5,90.481,2.252,7586.229153,22.76996144
2393.625,90.349,2.254,7604.059813,22.696379
2393.75,90.367,2.266,7643.020129,22.70925471
2393.875,90.584,2.284,7685.277753,22.83658971
2394,90.995,2.293,7680.712127,23.07350797
2394.125,91.82,2.297,7624.979307,23.53867463
2394.25,92.693,2.29,7530.147908,24.01958976
2394.375,93.336,2.277,7435.818977,24.36733351
2394.5,94.062,2.267,7346.022836,24.75257386
2394.625,94.879,2.256,7247.42883,25.1770618
2394.75,94.935,2.242,7198.205088,25.20817657
2394.875,94.352,2.234,7216.839071,24.91095676
2395,93.401,2.236,7296.846929,24.41446162
2395.125,91.811,2.243,7446.454129,23.55367511
2395.25,90.54,2.261,7611.58383,22.83870673
2395.375,89.905,2.276,7716.198209,22.4732172
2395.5,89.344,2.281,7781.706662,22.14515121
2395.625,88.759,2.284,7843.297018,21.79736204
2395.75,88.748,2.288,7858.006941,21.793194
2395.875,89.3,2.293,7826.49944,22.12644126
2396,90.227,2.293,7746.089308,22.6730554
2396.125,91.932,2.287,7582.534917,23.64069167
2396.25,93.447,2.266,7391.107259,24.46401914
2396.375,94.137,2.24,7252.748654,24.82946192
2396.5,94.529,2.227,7180.755112,25.03522342
2396.625,94.42,2.22,7166.447786,24.98144208
2396.75,93.695,2.223,7231.660174,24.60529193
2396.875,92.987,2.234,7322.778453,24.23087279
2397,92.265,2.245,7416.420094,23.8415275
2397.125,91.527,2.257,7516.18211,23.43548424
2397.25,91.332,2.274,7588.963343,23.32865159
2397.375,91.405,2.291,7639.590832,23.3721464
2397.5,91.454,2.3,7665.493035,23.40211765
2397.625,91.481,2.307,7686.553492,23.41973876
2397.75,91.6,2.314,7699.860262,23.48875885
2397.875,91.874,2.313,7673.579032,23.64360972
2398,92.314,2.305,7610.589943,23.88840416
